assetId,namaFile,tipe,penjelasan,url,fileSize,hashChecksum,metadataJson,status,createdAt,updatedAt
"6","Globalizing Universitas Brawijaya","FOTO","Globalizing Universitas Brawijaya","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Logo%20Globalizing%201.png","43675","22097ae2b4e7eee29785f4a9bc1d60bbfa19f4e8a9501d03695cc52c012ba1cc","","ACTIVE","""2025-11-06T08:12:38.363Z""","""2025-11-10T15:19:16.321Z"""
"8"," Barikan","VIDEO","Video Barikan","https://youtu.be/7WUAA5VdoUY","","","","ACTIVE","""2025-11-06T10:30:17.734Z""","""2025-11-06T10:30:17.734Z"""
"9"," Unan-unan","VIDEO","Video Unan-unan","https://youtu.be/yKfgD7oCZCM?si=9BuI7QUfEHdO7A7S","","","","ACTIVE","""2025-11-06T10:30:58.905Z""","""2025-11-06T10:30:58.905Z"""
"10","Entas-entas","VIDEO","Video Entas-entas","https://youtu.be/XfOYp7Yf8O0","","","","ACTIVE","""2025-11-06T10:31:45.849Z""","""2025-11-06T10:31:45.849Z"""
"11","Petra","VIDEO","Video Petra","https://youtu.be/9DAunFDUnNY","","","","ACTIVE","""2025-11-06T10:32:29.867Z""","""2025-11-06T10:32:29.867Z"""
"12","Walagara","VIDEO","Video Walagara","https://youtu.be/AZGIiBGP8us","","","","ACTIVE","""2025-11-06T10:33:07.575Z""","""2025-11-06T10:33:07.575Z"""
"13","Mayu Desa","VIDEO","Video Mayu Desa","https://youtu.be/72RxLISH9pI","","","","ACTIVE","""2025-11-06T10:33:40.914Z""","""2025-11-06T10:33:40.914Z"""
"14","Mbalari Karo","VIDEO","Video Mbalari Karo","https://youtu.be/vc5sfGILCv0","","","","ACTIVE","""2025-11-06T10:34:40.818Z""","""2025-11-06T10:34:40.818Z"""
"15","Kasada","VIDEO","Video Kasada","https://youtu.be/Cm_RR9sFpbE?si=JhFtjpiviZypZ3fm","","","","ACTIVE","""2025-11-06T10:35:17.821Z""","""2025-11-06T10:35:17.821Z"""
"16","Cangkriman","VIDEO","Video Cangkriman","https://youtu.be/VkAFVpVtHnE","","","","ACTIVE","""2025-11-06T10:35:54.549Z""","""2025-11-06T10:35:54.549Z"""
"2","Photo of Among","FOTO","Introduction Among foto","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/among-among_11zon.jpg","155228","702dd95aa4d0b4a4025782a427af8b0bdc613949afd82a8ba8704ac1aacbfe2b","","ACTIVE","""2025-11-06T06:26:02.540Z""","""2025-11-06T06:26:02.540Z"""
"1","Introduction test voice","AUDIO","Introduction Among voice","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/WhatsApp%20Ptt%202025-11-05%20at%2012.11.57%20PM.ogg","9488","f4f533e1e7183c03e76fbeb7d85626a0bf69d3b21d86121e501c9c5bc8ced687","","ACTIVE","""2025-11-06T06:25:44.644Z""","""2025-11-06T06:25:44.644Z"""
"3","Video of testing","VIDEO","Introduction Among video","https://www.youtube.com/watch?v=30w3v2jnbPw","","","","ACTIVE","""2025-11-06T06:26:46.232Z""","""2025-11-06T06:26:46.232Z"""
"4","Model 3D of Testing","MODEL_3D","Introduction Among model3d","https://sketchfab.com/3d-models/peta-provinsi-indonesia-76260b887cc74ae1958f0bbbd104d2e0","","","","CORRUPTED","""2025-11-06T06:27:13.256Z""","""2025-11-06T06:27:13.256Z"""
"5","Universitas Brawijaya Corpora","FOTO","Introduction logo","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Logo_11zon-removebg-preview.png","150847","08a19dee376e3203a43c7e41089560ec3eb8c7b7c79c1e1437e170cf98acb755","","ACTIVE","""2025-11-06T06:32:09.099Z""","""2025-11-10T03:33:53.227Z"""
"57","Pujan","FOTO","Foto Pujan","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/pembukaan%20pujan%20mubeng_11zon.jpg","496046","4c019a90cbd017175a77b554a4a858115539a64ac1020a0b5e04b1a3b7937cb8","","ACTIVE","""2025-11-07T05:07:58.929Z""","""2025-11-07T05:07:58.929Z"""
"58","Unan-unan","FOTO","Foto Unan-unan","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Unan-unan_11zon.jpg","106368","7f4205ea1c8100309367e95e34abc269b9a0659b58aaafbaf675f62e4e7e7762","","ACTIVE","""2025-11-07T05:08:46.653Z""","""2025-11-07T05:08:46.653Z"""
"59","Petra","FOTO","Foto Petra","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/petra_11zon.jpg","190091","4469fa78f6f86d143de528c5e2f3d0b944f95db1540e18249aa44c86363b58b4","","ACTIVE","""2025-11-07T05:09:27.702Z""","""2025-11-07T05:09:27.702Z"""
"60","Walagara","FOTO","Foto Walagara","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/piranti%20entas-entas-walagara%205_11zon.jpg","191301","e246bbf0854c37338c7443ae804beff79aaea698c670ba8d060b8e917662c029","","ACTIVE","""2025-11-07T05:10:06.609Z""","""2025-11-07T05:10:06.609Z"""
"61","Mayu desa","FOTO","Foto Mayu desa","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/mayu%20desa_17_11zon.jpg","188234","bc21669706f893f3690e0b6f04e6084d3cb531fe8274090740aad5d9eb74df01","","ACTIVE","""2025-11-07T05:10:32.481Z""","""2025-11-07T05:10:32.481Z"""
"62","Karo","FOTO","Foto Karo","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Karo%20di%20Bale%20Desa_16_11zon.jpg","188451","c34ee0075986dc8d139cfe3678415e2aefdc6963ede7ee0bd5576c93278780ff","","ACTIVE","""2025-11-07T05:11:01.265Z""","""2025-11-07T05:11:01.265Z"""
"63","Kasada","FOTO","Foto Kasada","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/KASADA_15_11zon.jpg","198543","67a29ca7d19313703c1b8eb94643f98a319d5649d0c225be4695416b01d0dae4","","ACTIVE","""2025-11-07T05:11:19.225Z""","""2025-11-07T05:11:19.225Z"""
"64","Hongkek","FOTO","Foto Hongkek","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/HONGKEK_14_11zon.jpg","191219","9143aec76f78ade5a7460557dc6aa2da3457a4d975c6b9a4d50467ad2c138980","","ACTIVE","""2025-11-07T05:11:42.201Z""","""2025-11-07T05:11:42.201Z"""
"65","Jimat klontong","FOTO","Foto Jimat klontong","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/jimat%20klontong_13_11zon.jpg","190173","2b92255d3ec8c64f64b57e347813cc194a50933d0b569b67a0ed06274c0289c2","","ACTIVE","""2025-11-07T05:12:04.095Z""","""2025-11-07T05:12:04.095Z"""
"66","tampah","FOTO","Foto tampah","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/tampah_12_11zon.jpg","163312","79db6407cc66f9eeae59bccd8aac18aa9651e359acf66d9605a76ca6c72757c7","","ACTIVE","""2025-11-07T05:12:43.466Z""","""2025-11-07T05:12:43.466Z"""
"67","kue pasung","FOTO","Foto kue pasung","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Kue%20Pasung_11_11zon.jpg","201339","99a9233c38a77eb2b8f14f24ab0b20144f0cdc2a84ce570a3a2c6bc164193a25","","ACTIVE","""2025-11-07T05:13:04.031Z""","""2025-11-07T05:13:04.031Z"""
"68","takir moncowarno","FOTO","Foto takir moncowarno","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Takir%20%28Moncowarno%29_10_11zon.jpg","193586","9dc14c351d1ba7d9943b1d2953dbbdc28ffd3ade4ffd51890fa5202ef818ab73","","ACTIVE","""2025-11-07T05:14:01.482Z""","""2025-11-07T05:14:01.482Z"""
"69","sodorran","FOTO","Foto sodorran","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Sodorran_11zon.jpg","40803","b16f71e9bc3a89b3171b77bc298c705aa9a8ba093e8e52d1f3c0089c2447a3ff","","ACTIVE","""2025-11-07T05:14:58.705Z""","""2025-11-07T05:14:58.705Z"""
"70","prapèn","FOTO","Foto prapèn","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/perapen_8_11zon.jpg","166554","0344a01aae37ab77ceade085ebdcabd8abecda631e345df6f9246004ec3b761e","","ACTIVE","""2025-11-07T05:15:42.028Z""","""2025-11-07T05:15:42.028Z"""
"71","borèh","FOTO","Foto borèh","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/boreh_7_11zon.jpg","202191","2224bb315a861ba9048f3faa82ccdf89717613b125d1bba172c51fc3c485b302","","ACTIVE","""2025-11-07T05:16:00.966Z""","""2025-11-07T05:16:00.966Z"""
"72","Ancak","FOTO","Foto Ancak","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Ancak_6_11zon.jpg","187241","bd35ff8666781c1b4b94aff8448e3039bb14214fd89a50b970048f1f4b7383d8","","ACTIVE","""2025-11-07T05:16:19.292Z""","""2025-11-07T05:16:19.292Z"""
"73","Meduduk","FOTO","Foto Meduduk","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/ritual%20mbeduduk_5_11zon.jpg","161468","69789981306a3c2f76e9216e97d5235ec6a731eb93053678715b454451e83f3f","","ACTIVE","""2025-11-07T05:16:46.789Z""","""2025-11-07T05:16:46.789Z"""
