subcultureId,assetId,assetRole,createdAt,subculture,asset
"25","1","HIGHLIGHT","""2025-11-06T06:36:31.654Z""","{""subcultureId"":25,""namaSubculture"":""Tengger"",""slug"":""tengger"",""salamKhas"":""Hong Ulun Basuki Langgeng"",""penjelasan"":""Introduction\n\n Tengger in Old Javanese means “highlands” (Gericke and Roorda, 1901:918), and thus the meaning of Wong Tengger would have mean persons who lived in highlands. In nowadays Java, Tengger no longer refer to that, but cover to “perch and sit above” (Hefner, 1985:25). Wong Tengger ‘Tengger People’ are indigenous community who resides and surrounds around the slope of Mountain Brahma (Bromo). The Tengger highlands locates to the northeast from Malang. There are three gates to reach there: (1) the first route is going to the north from Malang to Pasuruan or Purwodadi, we will find the main entrance Wonokitri village in Tosari district and going up to the Ngadiwono village. These regions well known as western side (brang kulon) of Tengger highlands; (2) the second route is heading to Probolinggo, we will reach the main entrance is Cemoro Lawang village (Ngadisari district) and directly overlooks mount Bromo and Tengger caldera. These gates are popularly known as eastern side (brang wetan) of Tengger highlands; (3) the third access has two kinds of gates: (1) heading to Tumpang, Malang then we will reach the Gubugklakah, and the main gate is Ngadas village; (2) heading to Lumajang, and climbing to Senduro, Ranupani. These regions are known as southern (brang kidul) of Tengger highlands.\n\nHong hulun Basuki Langgeng\n\nHong Hulun Basuki Langgeng is Tenggerese salutation. This formula consists of four words in Old Javenese: Oṅ or Om is often referred to mantra or formula praise; ṅhulun is the usual pronoun for the first person (Zoetmulder:1982). Whilst the rest of the words are still existed in modern Javanese, basuki means well-being, and laṅgĕṅ holds the meaning permanent. So, the Tenggerese salutation can be interpreted in the following: “Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being”. Then, the receiver will reply: basuki laṅgĕṅ ‘well-being forever’. This salutation is given when someone visit their relatives by knocking the door or for maintaining social relationship among Tenggerese when they meet each other in market or climbing up to the Bromo.\n\nDukun Panḍita as divine actors \n\nIn order to maintain the divine relationship between the people of Tengger and their deities and ancestor, the role of dukun panḍita (priest of Tengger) is central (Sukmawan, 2022:14). In the rituals that they perform, the priest is acting like the middleman who mediate the realm world to divine world. By uttering their formulas (mantra) and mentioning the means of the ritual, the priest communicates to the unseen figures to the man who dedicated their offerings to their deities or ancestors. In all the rituals that are performed by Tenggerese, the priest is the main actor. Tenggerese often call the name of the dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun. dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun."",""cultureId"":6,""status"":""PUBLISHED"",""statusKonservasi"":""TREATED"",""createdAt"":""2025-11-06T05:57:54.325Z"",""updatedAt"":""2025-11-15T15:02:07.225Z"",""artiSalamKhas"":""\""Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being\"""",""statusPriorityDisplay"":""HIGH""}","{""assetId"":1,""namaFile"":""Introduction test voice"",""tipe"":""AUDIO"",""penjelasan"":""Introduction Among voice"",""url"":""https://lvto72edhymjnfcu.public.blob.vercel-storage.com/WhatsApp%20Ptt%202025-11-05%20at%2012.11.57%20PM.ogg"",""fileSize"":""9488"",""hashChecksum"":""f4f533e1e7183c03e76fbeb7d85626a0bf69d3b21d86121e501c9c5bc8ced687"",""metadataJson"":"""",""status"":""ACTIVE"",""createdAt"":""2025-11-06T06:25:44.644Z"",""updatedAt"":""2025-11-06T06:25:44.644Z""}"
"25","2","HIGHLIGHT","""2025-11-06T06:37:15.125Z""","{""subcultureId"":25,""namaSubculture"":""Tengger"",""slug"":""tengger"",""salamKhas"":""Hong Ulun Basuki Langgeng"",""penjelasan"":""Introduction\n\n Tengger in Old Javanese means “highlands” (Gericke and Roorda, 1901:918), and thus the meaning of Wong Tengger would have mean persons who lived in highlands. In nowadays Java, Tengger no longer refer to that, but cover to “perch and sit above” (Hefner, 1985:25). Wong Tengger ‘Tengger People’ are indigenous community who resides and surrounds around the slope of Mountain Brahma (Bromo). The Tengger highlands locates to the northeast from Malang. There are three gates to reach there: (1) the first route is going to the north from Malang to Pasuruan or Purwodadi, we will find the main entrance Wonokitri village in Tosari district and going up to the Ngadiwono village. These regions well known as western side (brang kulon) of Tengger highlands; (2) the second route is heading to Probolinggo, we will reach the main entrance is Cemoro Lawang village (Ngadisari district) and directly overlooks mount Bromo and Tengger caldera. These gates are popularly known as eastern side (brang wetan) of Tengger highlands; (3) the third access has two kinds of gates: (1) heading to Tumpang, Malang then we will reach the Gubugklakah, and the main gate is Ngadas village; (2) heading to Lumajang, and climbing to Senduro, Ranupani. These regions are known as southern (brang kidul) of Tengger highlands.\n\nHong hulun Basuki Langgeng\n\nHong Hulun Basuki Langgeng is Tenggerese salutation. This formula consists of four words in Old Javenese: Oṅ or Om is often referred to mantra or formula praise; ṅhulun is the usual pronoun for the first person (Zoetmulder:1982). Whilst the rest of the words are still existed in modern Javanese, basuki means well-being, and laṅgĕṅ holds the meaning permanent. So, the Tenggerese salutation can be interpreted in the following: “Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being”. Then, the receiver will reply: basuki laṅgĕṅ ‘well-being forever’. This salutation is given when someone visit their relatives by knocking the door or for maintaining social relationship among Tenggerese when they meet each other in market or climbing up to the Bromo.\n\nDukun Panḍita as divine actors \n\nIn order to maintain the divine relationship between the people of Tengger and their deities and ancestor, the role of dukun panḍita (priest of Tengger) is central (Sukmawan, 2022:14). In the rituals that they perform, the priest is acting like the middleman who mediate the realm world to divine world. By uttering their formulas (mantra) and mentioning the means of the ritual, the priest communicates to the unseen figures to the man who dedicated their offerings to their deities or ancestors. In all the rituals that are performed by Tenggerese, the priest is the main actor. Tenggerese often call the name of the dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun. dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun."",""cultureId"":6,""status"":""PUBLISHED"",""statusKonservasi"":""TREATED"",""createdAt"":""2025-11-06T05:57:54.325Z"",""updatedAt"":""2025-11-15T15:02:07.225Z"",""artiSalamKhas"":""\""Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being\"""",""statusPriorityDisplay"":""HIGH""}","{""assetId"":2,""namaFile"":""Photo of Among"",""tipe"":""FOTO"",""penjelasan"":""Introduction Among foto"",""url"":""https://lvto72edhymjnfcu.public.blob.vercel-storage.com/among-among_11zon.jpg"",""fileSize"":""155228"",""hashChecksum"":""702dd95aa4d0b4a4025782a427af8b0bdc613949afd82a8ba8704ac1aacbfe2b"",""metadataJson"":"""",""status"":""ACTIVE"",""createdAt"":""2025-11-06T06:26:02.540Z"",""updatedAt"":""2025-11-06T06:26:02.540Z""}"
"25","2","BANNER","""2025-11-06T06:41:19.639Z""","{""subcultureId"":25,""namaSubculture"":""Tengger"",""slug"":""tengger"",""salamKhas"":""Hong Ulun Basuki Langgeng"",""penjelasan"":""Introduction\n\n Tengger in Old Javanese means “highlands” (Gericke and Roorda, 1901:918), and thus the meaning of Wong Tengger would have mean persons who lived in highlands. In nowadays Java, Tengger no longer refer to that, but cover to “perch and sit above” (Hefner, 1985:25). Wong Tengger ‘Tengger People’ are indigenous community who resides and surrounds around the slope of Mountain Brahma (Bromo). The Tengger highlands locates to the northeast from Malang. There are three gates to reach there: (1) the first route is going to the north from Malang to Pasuruan or Purwodadi, we will find the main entrance Wonokitri village in Tosari district and going up to the Ngadiwono village. These regions well known as western side (brang kulon) of Tengger highlands; (2) the second route is heading to Probolinggo, we will reach the main entrance is Cemoro Lawang village (Ngadisari district) and directly overlooks mount Bromo and Tengger caldera. These gates are popularly known as eastern side (brang wetan) of Tengger highlands; (3) the third access has two kinds of gates: (1) heading to Tumpang, Malang then we will reach the Gubugklakah, and the main gate is Ngadas village; (2) heading to Lumajang, and climbing to Senduro, Ranupani. These regions are known as southern (brang kidul) of Tengger highlands.\n\nHong hulun Basuki Langgeng\n\nHong Hulun Basuki Langgeng is Tenggerese salutation. This formula consists of four words in Old Javenese: Oṅ or Om is often referred to mantra or formula praise; ṅhulun is the usual pronoun for the first person (Zoetmulder:1982). Whilst the rest of the words are still existed in modern Javanese, basuki means well-being, and laṅgĕṅ holds the meaning permanent. So, the Tenggerese salutation can be interpreted in the following: “Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being”. Then, the receiver will reply: basuki laṅgĕṅ ‘well-being forever’. This salutation is given when someone visit their relatives by knocking the door or for maintaining social relationship among Tenggerese when they meet each other in market or climbing up to the Bromo.\n\nDukun Panḍita as divine actors \n\nIn order to maintain the divine relationship between the people of Tengger and their deities and ancestor, the role of dukun panḍita (priest of Tengger) is central (Sukmawan, 2022:14). In the rituals that they perform, the priest is acting like the middleman who mediate the realm world to divine world. By uttering their formulas (mantra) and mentioning the means of the ritual, the priest communicates to the unseen figures to the man who dedicated their offerings to their deities or ancestors. In all the rituals that are performed by Tenggerese, the priest is the main actor. Tenggerese often call the name of the dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun. dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun."",""cultureId"":6,""status"":""PUBLISHED"",""statusKonservasi"":""TREATED"",""createdAt"":""2025-11-06T05:57:54.325Z"",""updatedAt"":""2025-11-15T15:02:07.225Z"",""artiSalamKhas"":""\""Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being\"""",""statusPriorityDisplay"":""HIGH""}","{""assetId"":2,""namaFile"":""Photo of Among"",""tipe"":""FOTO"",""penjelasan"":""Introduction Among foto"",""url"":""https://lvto72edhymjnfcu.public.blob.vercel-storage.com/among-among_11zon.jpg"",""fileSize"":""155228"",""hashChecksum"":""702dd95aa4d0b4a4025782a427af8b0bdc613949afd82a8ba8704ac1aacbfe2b"",""metadataJson"":"""",""status"":""ACTIVE"",""createdAt"":""2025-11-06T06:26:02.540Z"",""updatedAt"":""2025-11-06T06:26:02.540Z""}"
"25","4","MODEL_3D","""2025-11-06T06:43:18.040Z""","{""subcultureId"":25,""namaSubculture"":""Tengger"",""slug"":""tengger"",""salamKhas"":""Hong Ulun Basuki Langgeng"",""penjelasan"":""Introduction\n\n Tengger in Old Javanese means “highlands” (Gericke and Roorda, 1901:918), and thus the meaning of Wong Tengger would have mean persons who lived in highlands. In nowadays Java, Tengger no longer refer to that, but cover to “perch and sit above” (Hefner, 1985:25). Wong Tengger ‘Tengger People’ are indigenous community who resides and surrounds around the slope of Mountain Brahma (Bromo). The Tengger highlands locates to the northeast from Malang. There are three gates to reach there: (1) the first route is going to the north from Malang to Pasuruan or Purwodadi, we will find the main entrance Wonokitri village in Tosari district and going up to the Ngadiwono village. These regions well known as western side (brang kulon) of Tengger highlands; (2) the second route is heading to Probolinggo, we will reach the main entrance is Cemoro Lawang village (Ngadisari district) and directly overlooks mount Bromo and Tengger caldera. These gates are popularly known as eastern side (brang wetan) of Tengger highlands; (3) the third access has two kinds of gates: (1) heading to Tumpang, Malang then we will reach the Gubugklakah, and the main gate is Ngadas village; (2) heading to Lumajang, and climbing to Senduro, Ranupani. These regions are known as southern (brang kidul) of Tengger highlands.\n\nHong hulun Basuki Langgeng\n\nHong Hulun Basuki Langgeng is Tenggerese salutation. This formula consists of four words in Old Javenese: Oṅ or Om is often referred to mantra or formula praise; ṅhulun is the usual pronoun for the first person (Zoetmulder:1982). Whilst the rest of the words are still existed in modern Javanese, basuki means well-being, and laṅgĕṅ holds the meaning permanent. So, the Tenggerese salutation can be interpreted in the following: “Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being”. Then, the receiver will reply: basuki laṅgĕṅ ‘well-being forever’. This salutation is given when someone visit their relatives by knocking the door or for maintaining social relationship among Tenggerese when they meet each other in market or climbing up to the Bromo.\n\nDukun Panḍita as divine actors \n\nIn order to maintain the divine relationship between the people of Tengger and their deities and ancestor, the role of dukun panḍita (priest of Tengger) is central (Sukmawan, 2022:14). In the rituals that they perform, the priest is acting like the middleman who mediate the realm world to divine world. By uttering their formulas (mantra) and mentioning the means of the ritual, the priest communicates to the unseen figures to the man who dedicated their offerings to their deities or ancestors. In all the rituals that are performed by Tenggerese, the priest is the main actor. Tenggerese often call the name of the dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun. dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun."",""cultureId"":6,""status"":""PUBLISHED"",""statusKonservasi"":""TREATED"",""createdAt"":""2025-11-06T05:57:54.325Z"",""updatedAt"":""2025-11-15T15:02:07.225Z"",""artiSalamKhas"":""\""Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being\"""",""statusPriorityDisplay"":""HIGH""}","{""assetId"":4,""namaFile"":""Model 3D of Testing"",""tipe"":""MODEL_3D"",""penjelasan"":""Introduction Among model3d"",""url"":""https://sketchfab.com/3d-models/peta-provinsi-indonesia-76260b887cc74ae1958f0bbbd104d2e0"",""fileSize"":"""",""hashChecksum"":"""",""metadataJson"":"""",""status"":""CORRUPTED"",""createdAt"":""2025-11-06T06:27:13.256Z"",""updatedAt"":""2025-11-06T06:27:13.256Z""}"
"25","80","HIGHLIGHT","""2025-11-07T06:52:47.843Z""","{""subcultureId"":25,""namaSubculture"":""Tengger"",""slug"":""tengger"",""salamKhas"":""Hong Ulun Basuki Langgeng"",""penjelasan"":""Introduction\n\n Tengger in Old Javanese means “highlands” (Gericke and Roorda, 1901:918), and thus the meaning of Wong Tengger would have mean persons who lived in highlands. In nowadays Java, Tengger no longer refer to that, but cover to “perch and sit above” (Hefner, 1985:25). Wong Tengger ‘Tengger People’ are indigenous community who resides and surrounds around the slope of Mountain Brahma (Bromo). The Tengger highlands locates to the northeast from Malang. There are three gates to reach there: (1) the first route is going to the north from Malang to Pasuruan or Purwodadi, we will find the main entrance Wonokitri village in Tosari district and going up to the Ngadiwono village. These regions well known as western side (brang kulon) of Tengger highlands; (2) the second route is heading to Probolinggo, we will reach the main entrance is Cemoro Lawang village (Ngadisari district) and directly overlooks mount Bromo and Tengger caldera. These gates are popularly known as eastern side (brang wetan) of Tengger highlands; (3) the third access has two kinds of gates: (1) heading to Tumpang, Malang then we will reach the Gubugklakah, and the main gate is Ngadas village; (2) heading to Lumajang, and climbing to Senduro, Ranupani. These regions are known as southern (brang kidul) of Tengger highlands.\n\nHong hulun Basuki Langgeng\n\nHong Hulun Basuki Langgeng is Tenggerese salutation. This formula consists of four words in Old Javenese: Oṅ or Om is often referred to mantra or formula praise; ṅhulun is the usual pronoun for the first person (Zoetmulder:1982). Whilst the rest of the words are still existed in modern Javanese, basuki means well-being, and laṅgĕṅ holds the meaning permanent. So, the Tenggerese salutation can be interpreted in the following: “Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being”. Then, the receiver will reply: basuki laṅgĕṅ ‘well-being forever’. This salutation is given when someone visit their relatives by knocking the door or for maintaining social relationship among Tenggerese when they meet each other in market or climbing up to the Bromo.\n\nDukun Panḍita as divine actors \n\nIn order to maintain the divine relationship between the people of Tengger and their deities and ancestor, the role of dukun panḍita (priest of Tengger) is central (Sukmawan, 2022:14). In the rituals that they perform, the priest is acting like the middleman who mediate the realm world to divine world. By uttering their formulas (mantra) and mentioning the means of the ritual, the priest communicates to the unseen figures to the man who dedicated their offerings to their deities or ancestors. In all the rituals that are performed by Tenggerese, the priest is the main actor. Tenggerese often call the name of the dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun. dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun."",""cultureId"":6,""status"":""PUBLISHED"",""statusKonservasi"":""TREATED"",""createdAt"":""2025-11-06T05:57:54.325Z"",""updatedAt"":""2025-11-15T15:02:07.225Z"",""artiSalamKhas"":""\""Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being\"""",""statusPriorityDisplay"":""HIGH""}","{""assetId"":80,""namaFile"":""Thumbnail Tengger"",""tipe"":""FOTO"",""penjelasan"":""Foto Thumbnail Tengger"",""url"":""https://lvto72edhymjnfcu.public.blob.vercel-storage.com/DSC08343_11zon.jpg"",""fileSize"":""179379"",""hashChecksum"":""6b3cca106fd1b3b3b201dce4113ec465fc7a4b0aa81644b17524d22a7ac71525"",""metadataJson"":"""",""status"":""ACTIVE"",""createdAt"":""2025-11-07T06:52:05.292Z"",""updatedAt"":""2025-11-07T06:52:05.292Z""}"
"5","58","HIGHLIGHT","""2025-11-09T10:22:50.505Z""","{""subcultureId"":5,""namaSubculture"":""Samin"",""slug"":""samin"",""salamKhas"":""Sami-sami"",""penjelasan"":""The Samin subculture from the Blora border (East-Central Java region), followers of Samin Surosentiko's teachings; distinctive features include values of simplicity, non-violence, and colonial resistance; a closed community focused on agriculture and harmonious life with nature.1"",""cultureId"":6,""status"":""PUBLISHED"",""statusKonservasi"":""MAINTAINED"",""createdAt"":""2025-11-06T05:42:47.306Z"",""updatedAt"":""2025-11-06T05:42:47.831Z"",""artiSalamKhas"":""(you're welcome, reflecting equality teachings)"",""statusPriorityDisplay"":""LOW""}","{""assetId"":58,""namaFile"":""Unan-unan"",""tipe"":""FOTO"",""penjelasan"":""Foto Unan-unan"",""url"":""https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Unan-unan_11zon.jpg"",""fileSize"":""106368"",""hashChecksum"":""7f4205ea1c8100309367e95e34abc269b9a0659b58aaafbaf675f62e4e7e7762"",""metadataJson"":"""",""status"":""ACTIVE"",""createdAt"":""2025-11-07T05:08:46.653Z"",""updatedAt"":""2025-11-07T05:08:46.653Z""}"
"5","59","HIGHLIGHT","""2025-11-09T10:23:30.948Z""","{""subcultureId"":5,""namaSubculture"":""Samin"",""slug"":""samin"",""salamKhas"":""Sami-sami"",""penjelasan"":""The Samin subculture from the Blora border (East-Central Java region), followers of Samin Surosentiko's teachings; distinctive features include values of simplicity, non-violence, and colonial resistance; a closed community focused on agriculture and harmonious life with nature.1"",""cultureId"":6,""status"":""PUBLISHED"",""statusKonservasi"":""MAINTAINED"",""createdAt"":""2025-11-06T05:42:47.306Z"",""updatedAt"":""2025-11-06T05:42:47.831Z"",""artiSalamKhas"":""(you're welcome, reflecting equality teachings)"",""statusPriorityDisplay"":""LOW""}","{""assetId"":59,""namaFile"":""Petra"",""tipe"":""FOTO"",""penjelasan"":""Foto Petra"",""url"":""https://lvto72edhymjnfcu.public.blob.vercel-storage.com/petra_11zon.jpg"",""fileSize"":""190091"",""hashChecksum"":""4469fa78f6f86d143de528c5e2f3d0b944f95db1540e18249aa44c86363b58b4"",""metadataJson"":"""",""status"":""ACTIVE"",""createdAt"":""2025-11-07T05:09:27.702Z"",""updatedAt"":""2025-11-07T05:09:27.702Z""}"
"8","60","HIGHLIGHT","""2025-11-09T10:43:36.017Z""","{""subcultureId"":8,""namaSubculture"":""Madura-Bawean"",""slug"":""madura-bawean"",""salamKhas"":""Abeje "",""penjelasan"":""The Madura-Bawean subculture from Bawean Island, a mix of Madurese with Malay-Javanese; distinctive features include migration traditions (boyan), mat weaving, and honesty values; the community is mostly migrants abroad."",""cultureId"":6,""status"":""PUBLISHED"",""statusKonservasi"":""TREATED"",""createdAt"":""2025-11-06T05:42:50.458Z"",""updatedAt"":""2025-11-06T05:42:50.983Z"",""artiSalamKhas"":""(hello, Madurese variation)"",""statusPriorityDisplay"":""LOW""}","{""assetId"":60,""namaFile"":""Walagara"",""tipe"":""FOTO"",""penjelasan"":""Foto Walagara"",""url"":""https://lvto72edhymjnfcu.public.blob.vercel-storage.com/piranti%20entas-entas-walagara%205_11zon.jpg"",""fileSize"":""191301"",""hashChecksum"":""e246bbf0854c37338c7443ae804beff79aaea698c670ba8d060b8e917662c029"",""metadataJson"":"""",""status"":""ACTIVE"",""createdAt"":""2025-11-07T05:10:06.609Z"",""updatedAt"":""2025-11-07T05:10:06.609Z""}"
"8","60","THUMBNAIL","""2025-11-09T10:44:39.121Z""","{""subcultureId"":8,""namaSubculture"":""Madura-Bawean"",""slug"":""madura-bawean"",""salamKhas"":""Abeje "",""penjelasan"":""The Madura-Bawean subculture from Bawean Island, a mix of Madurese with Malay-Javanese; distinctive features include migration traditions (boyan), mat weaving, and honesty values; the community is mostly migrants abroad."",""cultureId"":6,""status"":""PUBLISHED"",""statusKonservasi"":""TREATED"",""createdAt"":""2025-11-06T05:42:50.458Z"",""updatedAt"":""2025-11-06T05:42:50.983Z"",""artiSalamKhas"":""(hello, Madurese variation)"",""statusPriorityDisplay"":""LOW""}","{""assetId"":60,""namaFile"":""Walagara"",""tipe"":""FOTO"",""penjelasan"":""Foto Walagara"",""url"":""https://lvto72edhymjnfcu.public.blob.vercel-storage.com/piranti%20entas-entas-walagara%205_11zon.jpg"",""fileSize"":""191301"",""hashChecksum"":""e246bbf0854c37338c7443ae804beff79aaea698c670ba8d060b8e917662c029"",""metadataJson"":"""",""status"":""ACTIVE"",""createdAt"":""2025-11-07T05:10:06.609Z"",""updatedAt"":""2025-11-07T05:10:06.609Z""}"
"25","87","THUMBNAIL","""2025-11-09T11:56:50.970Z""","{""subcultureId"":25,""namaSubculture"":""Tengger"",""slug"":""tengger"",""salamKhas"":""Hong Ulun Basuki Langgeng"",""penjelasan"":""Introduction\n\n Tengger in Old Javanese means “highlands” (Gericke and Roorda, 1901:918), and thus the meaning of Wong Tengger would have mean persons who lived in highlands. In nowadays Java, Tengger no longer refer to that, but cover to “perch and sit above” (Hefner, 1985:25). Wong Tengger ‘Tengger People’ are indigenous community who resides and surrounds around the slope of Mountain Brahma (Bromo). The Tengger highlands locates to the northeast from Malang. There are three gates to reach there: (1) the first route is going to the north from Malang to Pasuruan or Purwodadi, we will find the main entrance Wonokitri village in Tosari district and going up to the Ngadiwono village. These regions well known as western side (brang kulon) of Tengger highlands; (2) the second route is heading to Probolinggo, we will reach the main entrance is Cemoro Lawang village (Ngadisari district) and directly overlooks mount Bromo and Tengger caldera. These gates are popularly known as eastern side (brang wetan) of Tengger highlands; (3) the third access has two kinds of gates: (1) heading to Tumpang, Malang then we will reach the Gubugklakah, and the main gate is Ngadas village; (2) heading to Lumajang, and climbing to Senduro, Ranupani. These regions are known as southern (brang kidul) of Tengger highlands.\n\nHong hulun Basuki Langgeng\n\nHong Hulun Basuki Langgeng is Tenggerese salutation. This formula consists of four words in Old Javenese: Oṅ or Om is often referred to mantra or formula praise; ṅhulun is the usual pronoun for the first person (Zoetmulder:1982). Whilst the rest of the words are still existed in modern Javanese, basuki means well-being, and laṅgĕṅ holds the meaning permanent. So, the Tenggerese salutation can be interpreted in the following: “Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being”. Then, the receiver will reply: basuki laṅgĕṅ ‘well-being forever’. This salutation is given when someone visit their relatives by knocking the door or for maintaining social relationship among Tenggerese when they meet each other in market or climbing up to the Bromo.\n\nDukun Panḍita as divine actors \n\nIn order to maintain the divine relationship between the people of Tengger and their deities and ancestor, the role of dukun panḍita (priest of Tengger) is central (Sukmawan, 2022:14). In the rituals that they perform, the priest is acting like the middleman who mediate the realm world to divine world. By uttering their formulas (mantra) and mentioning the means of the ritual, the priest communicates to the unseen figures to the man who dedicated their offerings to their deities or ancestors. In all the rituals that are performed by Tenggerese, the priest is the main actor. Tenggerese often call the name of the dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun. dukun as Rama. Every Tengger villages has dukun and the assistant of the dukun."",""cultureId"":6,""status"":""PUBLISHED"",""statusKonservasi"":""TREATED"",""createdAt"":""2025-11-06T05:57:54.325Z"",""updatedAt"":""2025-11-15T15:02:07.225Z"",""artiSalamKhas"":""\""Om, (Brahmā, Visnū, Sivā), I wish for eternal well-being\"""",""statusPriorityDisplay"":""HIGH""}","{""assetId"":87,""namaFile"":""Ritual Yadnya Kasada"",""tipe"":""FOTO"",""penjelasan"":""Foto Ritual Yadnya Kasada"",""url"":""https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Thumnail%20Tengger_11zon.jpg"",""fileSize"":""37685"",""hashChecksum"":""1dcd945e455d746d39e5aaff2072b3f47c89f4a2fd4a8bdf169188fbca1eb180"",""metadataJson"":"""",""status"":""ACTIVE"",""createdAt"":""2025-11-09T11:50:25.620Z"",""updatedAt"":""2025-11-09T11:50:25.620Z""}"
